6.50: TOEI ANIME
6.67: TOEI ANIMATION
6.80: TOEI ANIMATION
6.93: MATRIMATION
13.67: With weakness as my ally
17.37: I soar higher than anybody else
23.70: For the things that's been lost will lose their spark
26.37-48.53: For the things that's been lost will lose their spark. At times when you're lost somewhere. If my heart is also adrift. I won't be able to find you. Your kindness, nor your strength. I already know. It's the break of dawn.
48.70-64.87: It's the break of dawn. To the highest point of reach. I'll dash through all the way, yeah. I bet you're laughing, numbed by it all. For the pain of those days is now in the past, perhaps. With the world as my enemy.
64.90-94.10: With the world as my enemy. I stand my ground on quivering legs. Keep moving, just a bit more for me. The awakening moment.
95.17: RPEX-DAD
95.20: CEG-FAM
95.23: RRP-
95.47: DEFLE
95.53: DEFLE
96.53: DEFLE
96.57: DEFLE
96.83: DEFLE
96.87: DEFLE
96.90: DEFLE
97.00: DEFLE
97.27: DEFLE
97.30: DEFLE
97.33: DEFLE
97.37: DEFLE
97.40: DEFLE
97.43: DEFLE
97.47: DEFLE
97.50: DEFLE
97.53: DEFLE
97.57: DEFLE
97.63: DEFLE
97.67: DEFLE
97.73: DEFLE
97.90: DEFLE
97.97: DEFLE
98.00: DEFLE
98.03: DEFLE
98.07: DEFLE
98.10: DEFLE
98.13: DEFLE
98.17: DEFLE
98.23: DEFLE
98.30: DEFLE
98.37: DEFLE
98.43: DEFLE
98.47: DEFLE
98.50: DEFLE
98.60: DEFLE
98.63: DEFLE
98.73: DEFLE
98.77: DEFLE
98.87: DEFLE
98.90: DEFLE
99.00: DEFLE
99.03: DEFLE
99.13: DEFLE
99.17: DEFLE
99.27: DEFLE
99.30: DEFLE
99.40: DEFLE
99.43: DEFLE
99.53: DEFLE
99.57: DEFLE
100.13: None
100.20: None
100.23: None
100.27: None
100.30: None
100.33: None
100.37: None
100.40: None
100.43: None
100.47: None
100.50: None
100.53: None
100.57: None
100.60: None
100.63: None
100.67: None
100.70: None
100.73: None
100.77: None
100.80: None
100.83: None
100.87: None
100.90: None
100.93: None
100.97: None
101.00: None
101.03: None
101.07: None
101.10: None
101.13: None
101.17: None
101.20: None
101.23: None
101.27: None
101.30: None
101.33: None
101.37: None
101.40: None
101.43: None
101.47: None
101.50: None
101.53: None
101.57: None
101.60: None
101.63: None
101.67: None
101.70: None
101.73: None
101.77: None
101.80: None
101.83: None
101.87: None
101.90: None
101.93: None
101.97: None
102.00: None
102.03: None
102.07: None
102.10: None
102.13: None
102.17: None
102.20: None
102.23: None
102.27: None
102.30: None
102.33: None
102.37: None
102.40: None
102.43: None
102.47: None
102.50: None
102.53: None
102.57: None
102.60: None
102.63: None
102.67: None
102.70: None
102.73: None
102.77: None
102.80: None
102.83: None
102.87: None
102.90: None
102.93: None
102.97: None
103.00: None
103.03: None
103.07: None
103.10: None
103.13: None
103.17: None
103.20: None
103.23: None
103.27: None
103.30: None
103.33: None
103.37: None
103.40: None
103.43: None
103.47: None
103.50: None
103.53: "The Last Curtain!
103.57: "The Last Curtain!
103.60: "The Last Curtain!
103.63: "The Last Curtain!
103.67: "The Last Curtain!
103.70: "The Last Curtain!
103.73: "The Last Curtain!
103.77: "The Last Curtain!
103.80: "The Last Curtain!
103.83: "The Last Curtain!
103.87: "The Last Curtain!
103.90: "The Last Curtain!
103.93: "The Last Curtain!
103.97: "The Last Curtain!
104.00: "The Last Curtain!
104.03: "The Last Curtain!
104.07: "The Last Curtain!
104.10: "The Last Curtain!
104.13: "The Last Curtain!
104.17: "The Last Curtain!
104.20: "The Last Curtain!
104.23: "The Last Curtain!
104.27: "The Last Curtain!
104.30: "The Last Curtain!
104.33: "The Last Curtain!
104.37: "The Last Curtain!
104.40: "The Last Curtain!
104.43: "The Last Curtain!
104.47: "The Last Curtain!
104.50: "The Last Curtain!
104.53: "The Last Curtain!
104.57: "The Last Curtain!
104.60: "The Last Curtain!
104.63: "The Last Curtain!
104.67: "The Last Curtain!
104.70: "The Last Curtain!
104.73: "The Last Curtain!
104.77: "The Last Curtain!
104.80: "The Last Curtain!
104.83: "The Last Curtain!
104.87: "The Last Curtain!
104.90: "The Last Curtain!
104.93: "The Last Curtain!
104.97: "The Last Curtain!
105.00: "The Last Curtain!
105.03: "The Last Curtain!
105.07: "The Last Curtain!
105.10: "The Last Curtain!
105.13: "The Last Curtain!
105.17: "The Last Curtain!
105.20: "The Last Curtain!
105.23: "The Last Curtain!
105.27: "The Last Curtain!
105.30: "The Last Curtain!
105.33: "The Last Curtain!
105.37: "The Last Curtain!
105.40: "The Last
135.73: The sky is dark
141.87: The storm rages on
148.57: Thank you for your purchase!
151.83: At Onigashima
161.97: A blue dragon roars
167.13-193.43: A legion of beasts howl madly
184.53-186.63: A shower in late autumn passes
186.67-188.90: A shower in late autumn passes
190.27-193.43: And maple leaves turn red
193.47-220.60: And maple leaves turn red. To avenge Kozuki Oden, his retainers raced around. Though I am not so eloquent. --Yes! I will try my best to tell the story.
220.63-246.13: I will try my best to tell the story before a stormy night with pouring rain, gathering at Habu Port...to raid Onigashima.
246.17: ...to raid Onigashima
264.33: Leaving the boisterous Flower Capital
267.10: Momonosuke and the others are heading
271.17-278.10: Momonosuke and the others are heading.
278.23-280.10: What?!
280.93-283.13: Mm-hm! I'm not!
284.00-286.70: Momonosuke-kun!
286.73-289.10: So you are staying, Yamato.
289.13-291.40: Should I not?
291.40-292.83: No, it is reassuring to have you here...
292.83: But did you not say?
292.87-294.93: But did you not say
295.00-297.83: I thought you decided to leave
297.87-298.00: SAM
298.03-299.43: I thought you decided to leave
299.47-300.57: None
